time,wavelength_shift_1,wavelength_shift_2
12.83,-0.5861,-0.433
12.859,-0.5849,-0.4321
12.889,-0.5827,-0.4305
12.918,-0.5848,-0.4324
12.948,-0.5837,-0.4318
12.979,-0.5837,-0.432
13.008,-0.5864,-0.4318
13.038,-0.5821,-0.4322
13.068,-0.5832,-0.4312
13.097,-0.584,-0.4306
13.127,-0.5808,-0.4316
13.157,-0.5844,-0.4327
13.186,-0.5816,-0.4329
13.22,-0.5867,-0.4322
13.247,-0.587,-0.4357
13.275,-0.5839,-0.435
13.304,-0.5849,-0.4345
13.333,-0.586,-0.4347
13.363,-0.5835,-0.4319
13.393,-0.5844,-0.4338
13.422,-0.5857,-0.431
13.452,-0.5823,-0.4313
13.482,-0.5855,-0.4313
13.512,-0.5853,-0.4318
13.542,-0.5843,-0.4329
13.571,-0.5862,-0.4324
13.601,-0.5846,-0.4335
13.63,-0.5839,-0.433
13.661,-0.5852,-0.4352
13.689,-0.5829,-0.4327
13.718,-0.5854,-0.433
13.748,-0.5827,-0.432
13.778,-0.5826,-0.4351
13.807,-0.5843,-0.4327
13.837,-0.5836,-0.4307
13.867,-0.5832,-0.4341
13.897,-0.5858,-0.4345
13.927,-0.5858,-0.4317
13.956,-0.5836,-0.4332
13.986,-0.584,-0.4338
14.016,-0.5851,-0.4299
14.044,-0.5835,-0.4336
14.074,-0.5863,-0.4308
14.105,-0.5832,-0.433
14.133,-0.5846,-0.4366
14.163,-0.5853,-0.4341
14.192,-0.5831,-0.4312
14.222,-0.5816,-0.4315
14.252,-0.5853,-0.4344
14.283,-0.5864,-0.4335
14.312,-0.5808,-0.4311
14.342,-0.5881,-0.4344
14.37,-0.5837,-0.4304
14.4,-0.5876,-0.4343
14.431,-0.586,-0.4323
14.459,-0.5843,-0.4343
14.489,-0.5827,-0.4332
14.519,-0.584,-0.4329
14.552,-0.5837,-0.4305
14.579,-0.5831,-0.4304
14.607,-0.5855,-0.4318
14.637,-0.5829,-0.4338
14.667,-0.5865,-0.4346
14.696,-0.5844,-0.4297
14.727,-0.5868,-0.4319
14.755,-0.5846,-0.4318
14.785,-0.5842,-0.433
14.815,-0.5837,-0.433
14.844,-0.5814,-0.4316
14.874,-0.5833,-0.433
14.905,-0.5884,-0.4291
14.934,-0.5856,-0.4352
14.972,-0.586,-0.4327
14.992,-0.5879,-0.4324
15.022,-0.584,-0.431
15.052,-0.5868,-0.433
15.086,-0.5857,-0.4301
15.111,-0.5835,-0.4325
15.14,-0.586,-0.4283
15.17,-0.5854,-0.4308
15.201,-0.5858,-0.4348
15.232,-0.5815,-0.4303
15.259,-0.5874,-0.4315
15.288,-0.5844,-0.4338
15.318,-0.5861,-0.4307
15.348,-0.5805,-0.4307
15.377,-0.5815,-0.43
15.408,-0.5834,-0.4317
15.441,-0.5837,-0.436
15.468,-0.5816,-0.4329
15.496,-0.5862,-0.4365
15.525,-0.5853,-0.435
15.555,-0.587,-0.4363
15.585,-0.5837,-0.4335
15.614,-0.5844,-0.434
15.646,-0.5835,-0.4335
15.673,-0.5857,-0.4335
15.703,-0.5852,-0.433
15.733,-0.5838,-0.4336
15.763,-0.5849,-0.4355
15.796,-0.5803,-0.4356
15.821,-0.5861,-0.4332
15.851,-0.5862,-0.4355
15.881,-0.5866,-0.4341
15.912,-0.5848,-0.4341
15.941,-0.581,-0.4324
15.971,-0.5865,-0.4361
15.999,-0.5846,-0.4338
16.029,-0.5818,-0.4351
16.059,-0.5808,-0.4337
16.088,-0.5865,-0.432
16.118,-0.5813,-0.4321
16.147,-0.5857,-0.4329
16.177,-0.5838,-0.432
16.206,-0.5843,-0.4354
16.236,-0.5846,-0.4333
16.266,-0.5866,-0.4354
16.295,-0.5863,-0.4344
16.325,-0.5851,-0.4348
16.355,-0.5834,-0.4344
16.384,-0.5868,-0.435
16.413,-0.585,-0.4335
16.443,-0.5847,-0.4329
16.472,-0.5839,-0.4356
16.502,-0.5854,-0.4341
16.532,-0.5864,-0.4346
16.562,-0.5871,-0.4343
16.592,-0.5833,-0.4322
16.621,-0.5843,-0.4334
16.651,-0.5851,-0.4363
16.68,-0.5834,-0.4337
16.71,-0.5849,-0.4358
16.743,-0.5841,-0.4336
16.771,-0.5831,-0.4367
16.799,-0.5813,-0.4336
16.829,-0.583,-0.4349
16.858,-0.5851,-0.4365
16.888,-0.5852,-0.4348
16.919,-0.5863,-0.4353
16.948,-0.5808,-0.4318
16.977,-0.5827,-0.4354
17.007,-0.5857,-0.4345
17.036,-0.5827,-0.4345
17.066,-0.5868,-0.4341
17.095,-0.5816,-0.4349
17.126,-0.5845,-0.434
17.158,-0.5838,-0.4341
17.184,-0.5845,-0.4338
17.214,-0.5849,-0.434
17.244,-0.5841,-0.4344
17.273,-0.5858,-0.4341
17.303,-0.5858,-0.438
17.332,-0.5862,-0.4331
17.362,-0.5849,-0.4336
17.392,-0.5853,-0.4325
17.421,-0.5835,-0.4327
17.451,-0.5856,-0.4352
17.48,-0.5863,-0.4347
17.516,-0.5877,-0.436
17.541,-0.5877,-0.4333
17.569,-0.5868,-0.4347
17.598,-0.5863,-0.4383
