Time (s),FBG (nm)
85.601,-0.4405
85.629,-0.4413
85.661,-0.4423
85.689,-0.4363
85.718,-0.441
85.748,-0.4376
85.778,-0.4395
85.81,-0.4401
85.837,-0.4387
85.867,-0.4363
85.896,-0.4334
85.926,-0.4353
85.955,-0.4349
85.986,-0.432
86.015,-0.4363
86.05,-0.4479
86.074,-0.4523
86.104,-0.4531
86.133,-0.4518
86.163,-0.4565
86.193,-0.4543
86.222,-0.4546
86.252,-0.4481
86.282,-0.444
86.312,-0.4473
86.341,-0.4479
86.37,-0.4517
86.401,-0.4453
86.43,-0.4459
86.46,-0.4447
86.489,-0.4435
86.519,-0.444
86.548,-0.4424
86.582,-0.442
86.607,-0.4383
86.637,-0.4405
86.667,-0.438
86.697,-0.4377
86.73,-0.4346
86.756,-0.4374
86.786,-0.4393
86.815,-0.4385
86.847,-0.4461
86.874,-0.4537
86.904,-0.4565
86.934,-0.4559
86.964,-0.4518
86.993,-0.4534
87.022,-0.4521
87.053,-0.4513
87.083,-0.4466
87.113,-0.4481
87.145,-0.4445
87.171,-0.443
87.201,-0.4449
87.233,-0.4446
87.26,-0.442
87.289,-0.4431
87.319,-0.4395
87.348,-0.4418
87.378,-0.4383
87.408,-0.4406
87.442,-0.4398
87.467,-0.4382
87.497,-0.4364
87.528,-0.4361
87.555,-0.436
87.585,-0.4448
87.615,-0.4539
87.645,-0.4532
87.674,-0.451
87.704,-0.4498
87.734,-0.4449
87.763,-0.4485
87.793,-0.445
87.824,-0.4448
87.855,-0.4437
87.882,-0.4451
87.917,-0.443
87.943,-0.4443
87.971,-0.4431
88.001,-0.4416
88.03,-0.441
88.059,-0.4398
88.09,-0.4378
88.118,-0.4373
88.149,-0.4379
88.178,-0.4361
88.209,-0.4368
88.238,-0.4341
88.27,-0.4334
88.297,-0.4343
88.327,-0.4366
88.355,-0.4456
88.386,-0.4532
88.414,-0.4583
88.444,-0.456
88.474,-0.4521
